name,youtubeid,start,end,level,beatcount,comments,teachers
basic step - follow back,vDEfXZbgyQw,00:03:48,00:03:57,level 1,,,Geno Garcia
basic step - leader back,vDEfXZbgyQw,00:04:02,00:04:13,level 1,,,Geno Garcia
forward and backward basic,vDEfXZbgyQw,00:05:43,00:05:52,level 1,,,Geno Garcia
forward and backward basic with tap,vDEfXZbgyQw,00:06:01,00:06:10,level 1,,,Geno Garcia
basic - two hands hold,vDEfXZbgyQw,00:04:42,00:04:46,level 1,,,Geno Garcia
rotating basic,vDEfXZbgyQw,00:09:10,00:09:24,level 1,,,Geno Garcia
inside turn and neck loop,vDEfXZbgyQw,00:17:03,00:17:13,level 1,,,Geno Garcia
leader left side turn,vDEfXZbgyQw,00:18:54,00:18:58,level 1,,,Geno Garcia
follower cross hand turn,vDEfXZbgyQw,00:21:18,00:21:25,level 1,,,Geno Garcia
cradle walk,vDEfXZbgyQw,00:24:24,00:24:36,level 1,,,Geno Garcia
wrap up hold,vDEfXZbgyQw,00:30:47,00:30:52,level 1,,,Geno Garcia
leader cross arm turn,vDEfXZbgyQw,00:33:12,00:33:24,level 1,,,Geno Garcia
around the world dip,vDEfXZbgyQw,00:36:40,00:36:48,level 1,,,Geno Garcia
